海域	小型	中型	大型	ボス	道中
1-1	96	0	0	180	1
1-2	120	132	0	204	2
1-3	132	144	0	216	2
1-4	156	168	180	252	3
2-1	180	198	216	270	2
2-2	198	218	237	296	3
2-3	216	237	259	321	3
2-4	234	258	280	348	3
3-1	252	277	302	374	3
3-2	270	297	323	400	3
3-3	288	316	345	426	3
3-4	306	337	367	452	3
4-1	323	356	388	478	3
4-2	342	376	414	505	3
4-3	360	396	432	530	3
4-4	378	416	453	556	4
5-1	396	435	475	583	4
5-2	414	456	496	609	4
5-3	423	475	518	634	4
5-4	450	495	540	661	4
6-1	468	486	514	687	4
6-2	486	535	583	63	4
6-3	504	554	604	739	4
6-4	522	574	626	765	5
7-1	534	588	640	783	5
7-2	546	601	655	800	5
7-3	558	614	669	682	5
7-4	570	627	684	835	5
8-1	552	607	662	808	4
8-2	564	620	676	826	4
8-3	576	633	691	843	4
8-4	588	646	705	853	4
9-1	550	660	720	872	5
9-2	612	673	734	890	5
9-3	624	686	748	907	5
9-4	636	699	763	924	5
10-1	648	712	777	948	6
10-2	654	720	-1	957	6
10-3	-1	-1	-1	-1	6
10-4	678	745	813	991	6
